firstName,middleName,lastName,secondLastName,displayName,gender,email,birthDate,birthPlace,birthCountryDisplayName,nationalityCountryDisplayName,height,weight,photoUrl
Henry,,Martín,,Henry Martín,Male,,1992-11-18,Mérida,Mexico,Mexico,177,74,
Aldo,,Rocha,,Aldo Rocha,Male,,1993-04-29,Morelia,Mexico,Mexico,174,70,
Javier,,Güémez,,Javier Güémez,Male,,1990-03-01,,Mexico,Mexico,178,74,
Érik,,Lira,,Érik Lira,Male,,2000-01-22,Mexico City,Mexico,Mexico,178,73,
Javier,,Hernández,,Javier Hernández,Male,,1988-06-01,Guadalajara,Mexico,Mexico,175,73,
Sebastián,,Jurado,,Sebastián Jurado,Male,,1997-09-24,Veracruz,Mexico,Mexico,186,80,
Jaine,,Barreiro,,Jaine Barreiro,Male,,1997-08-10,,Colombia,Colombia,180,76,
Jefferson,,Intriago,,Jefferson Intriago,Male,,1992-03-19,,Ecuador,Ecuador,178,76,
Sergio,,Canales,,Sergio Canales,Male,,1991-02-16,Santander,Spain,Spain,176,70,
Alexis,,Peña,,Alexis Peña,Male,,1994-08-02,,Mexico,Mexico,185,78,
Gustavo,,Cabral,,Gustavo Cabral,Male,,1985-10-14,,Argentina,Argentina,182,78,
Diego,,de Buen,,Diego de Buen,Male,,1994-04-14,,Mexico,Mexico,177,72,
Kevin,,Escamilla,,Kevin Escamilla,Male,,1992-10-12,,Mexico,Mexico,175,70,
Carlos,,Acevedo,,Carlos Acevedo,Male,,1996-04-19,Chihuahua,Mexico,Mexico,186,80,
Christian,,Rivera,,Christian Rivera,Male,,1997-07-15,,Mexico,Mexico,175,70,
Alexis,,Vega,,Alexis Vega,Male,,1997-08-25,Tepic,Mexico,Mexico,175,73,
Fernando,,Gorriarán,,Fernando Gorriarán,Male,,1994-10-27,,Uruguay,Uruguay,172,67,
Keylor,,Navas,,Keylor Navas,Male,,1986-12-15,San Isidro de El General,Costa Rica,Costa Rica,185,78,
Paulinho,,,Bóia,Paulinho,Male,,1996-09-15,,Brazil,Brazil,181,78,
Armando,,González,,Armando González,Male,,2000-10-02,,Mexico,Mexico,178,72,
João Pedro,,,de Oliveira,João Pedro,Male,,1994-08-09,,Brazil,Brazil,182,77,
Germán,,Berterame,,Germán Berterame,Male,,1996-11-26,Buenos Aires,Argentina,Argentina,183,78,
Kevin,,Castañeda,,Kevin Castañeda,Male,,1999-03-12,,Mexico,Mexico,175,70,
Juninho,,,,Juninho,Male,,1997-02-15,,Brazil,Brazil,176,72,
Charlyn,,Corral,,Charlyn Corral,Female,,1991-07-09,Mexico City,Mexico,Mexico,162,55,
Aerial,,Chavarin,,Aerial Chavarin,Female,,2000-05-15,,United States,United States,168,60,
Montserrat,,Saldivar,,Montserrat Saldivar,Female,,1996-08-03,,Mexico,Mexico,165,58,
Jennifer,,Hermoso,,Jennifer Hermoso,Female,,1990-04-09,Madrid,Spain,Spain,170,60,
Diana,,Ordóñez,,Diana Ordóñez,Female,,2000-11-24,,Mexico,Mexico,168,60,
Stephanie,,Ribeiro,,Stephanie Ribeiro,Female,,1993-01-12,,Portugal,Portugal,170,62,
Eugénie,,Le Sommer,,Eugénie Le Sommer,Female,,1989-05-18,Grasse,France,France,165,55,
Kiana,,Palacios,,Kiana Palacios,Female,,1996-12-08,Hermosillo,Mexico,Mexico,165,57,
Brenda,,Cerén,,Brenda Cerén,Female,,1993-01-31,,El Salvador,El Salvador,161,55,
Alicia,,Cervantes,,Alicia Cervantes,Female,,1993-12-16,Guadalajara,Mexico,Mexico,163,56,
Irene,,Guerrero,,Irene Guerrero,Female,,1995-10-25,Huelva,Spain,Spain,168,58,
Scarlett,,Camberos,,Scarlett Camberos,Female,,1998-06-16,,Mexico,Mexico,165,57,
Uchenna,,Kanu,,Uchenna Kanu,Female,,1996-12-16,,Nigeria,Nigeria,168,62,
Lucía,,García,,Lucía García,Female,,1998-01-09,,Spain,Spain,166,58,
Angelina,,Hix,,Angelina Hix,Female,,2001-03-20,,United States,United States,170,62,
Christina,,Burkenroad,,Christina Burkenroad,Female,,1996-05-03,,Mexico,Mexico,170,63,
Emily,,Gielnik,,Emily Gielnik,Female,,1992-08-24,Melbourne,Australia,Australia,168,62,
Jheniffer,,,de Souza,Jheniffer,Female,,1997-02-04,,Brazil,Brazil,172,65,
Thembi,,Kgatlana,,Thembi Kgatlana,Female,,1996-05-02,Mohlakeng,South Africa,South Africa,163,55,
Amandine,,Henry,,Amandine Henry,Female,,1989-09-28,Lille,France,France,170,60,
Nina,,Nicosia,,Nina Nicosia,Female,,1999-02-15,,Argentina,Argentina,168,60,
Kader,,Hançar,,Kader Hançar,Female,,1999-06-15,,Turkey,Turkey,166,58,
