firstName,middleName,lastName,secondLastName,displayName,gender,email,birthDate,birthPlace,birthCountryDisplayName,nationalityCountryDisplayName,height,weight,photoUrl,position,preferredFoot,currentTeamDisplayName,active
Henry,,Martín,,Henry Martín,Male,,1992-11-18,Mérida,Mexico,Mexico,177,74,,Forward,Right,América,true
Aldo,,Rocha,,Aldo Rocha,Male,,1993-04-29,Morelia,Mexico,Mexico,174,70,,Midfielder,Right,Atlas,true
Javier,,Güémez,,Javier Güémez,Male,,1990-03-01,,Mexico,Mexico,178,74,,Midfielder,Right,Atlético San Luis,true
Érik,,Lira,,Érik Lira,Male,,2000-01-22,Mexico City,Mexico,Mexico,178,73,,Midfielder,Left,Cruz Azul,true
Javier,,Hernández,,Javier Hernández,Male,,1988-06-01,Guadalajara,Mexico,Mexico,175,73,,Forward,Right,Guadalajara,true
Sebastián,,Jurado,,Sebastián Jurado,Male,,1997-09-24,Veracruz,Mexico,Mexico,186,80,,Goalkeeper,Right,Juárez,true
Jaine,,Barreiro,,Jaine Barreiro,Male,,1997-08-10,,Colombia,Colombia,180,76,,Midfielder,Right,León,true
Jefferson,,Intriago,,Jefferson Intriago,Male,,1992-03-19,,Ecuador,Ecuador,178,76,,Midfielder,Left,Mazatlán,true
Sergio,,Canales,,Sergio Canales,Male,,1991-02-16,Santander,Spain,Spain,176,70,,Midfielder,Left,Monterrey,true
Alexis,,Peña,,Alexis Peña,Male,,1994-08-02,,Mexico,Mexico,185,78,,Defender,Right,Necaxa,true
Gustavo,,Cabral,,Gustavo Cabral,Male,,1985-10-14,,Argentina,Argentina,182,78,,Defender,Right,Pachuca,true
Diego,,de Buen,,Diego de Buen,Male,,1994-04-14,,Mexico,Mexico,177,72,,Midfielder,Right,Puebla,true
Kevin,,Escamilla,,Kevin Escamilla,Male,,1992-10-12,,Mexico,Mexico,175,70,,Forward,Right,Querétaro,true
Carlos,,Acevedo,,Carlos Acevedo,Male,,1996-04-19,Chihuahua,Mexico,Mexico,186,80,,Goalkeeper,Right,Santos Laguna,true
Christian,,Rivera,,Christian Rivera,Male,,1997-07-15,,Mexico,Mexico,175,70,,Midfielder,Right,Tijuana,true
Alexis,,Vega,,Alexis Vega,Male,,1997-08-25,Tepic,Mexico,Mexico,175,73,,Forward,Left,Toluca,true
