tournamentSeasonDisplayName,teamDisplayName,status
Liga MX Apertura 2025,América,Active
Liga MX Apertura 2025,Atlas,Active
Liga MX Apertura 2025,Atlético San Luis,Active
Liga MX Apertura 2025,Cruz Azul,Active
Liga MX Apertura 2025,Guadalajara,Active
Liga MX Apertura 2025,Juárez,Active
Liga MX Apertura 2025,León,Active
Liga MX Apertura 2025,Mazatlán,Active
Liga MX Apertura 2025,Monterrey,Active
Liga MX Apertura 2025,Necaxa,Active
Liga MX Apertura 2025,Pachuca,Active
Liga MX Apertura 2025,Puebla,Active
Liga MX Apertura 2025,Querétaro,Active
Liga MX Apertura 2025,Santos Laguna,Active
Liga MX Apertura 2025,Tijuana,Active
Liga MX Apertura 2025,Toluca,Active
Liga MX Apertura 2025,UANL,Active
Liga MX Apertura 2025,UNAM,Active
Liga MX Clausura 2026,América,Active
Liga MX Clausura 2026,Atlas,Active
Liga MX Clausura 2026,Atlético San Luis,Active
Liga MX Clausura 2026,Cruz Azul,Active
Liga MX Clausura 2026,Guadalajara,Active
Liga MX Clausura 2026,Juárez,Active
Liga MX Clausura 2026,León,Active
Liga MX Clausura 2026,Mazatlán,Active
Liga MX Clausura 2026,Monterrey,Active
Liga MX Clausura 2026,Necaxa,Active
Liga MX Clausura 2026,Pachuca,Active
Liga MX Clausura 2026,Puebla,Active
Liga MX Clausura 2026,Querétaro,Active
Liga MX Clausura 2026,Santos Laguna,Active
Liga MX Clausura 2026,Tijuana,Active
Liga MX Clausura 2026,Toluca,Active
Liga MX Clausura 2026,UANL,Active
Liga MX Clausura 2026,UNAM,Active
Liga MX Femenil Apertura 2025,América Femenil,Active
Liga MX Femenil Apertura 2025,Atlas Femenil,Active
Liga MX Femenil Apertura 2025,Atlético San Luis Femenil,Active
Liga MX Femenil Apertura 2025,Cruz Azul Femenil,Active
Liga MX Femenil Apertura 2025,Guadalajara Femenil,Active
Liga MX Femenil Apertura 2025,Juárez Femenil,Active
Liga MX Femenil Apertura 2025,León Femenil,Active
Liga MX Femenil Apertura 2025,Mazatlán Femenil,Active
Liga MX Femenil Apertura 2025,Monterrey Femenil,Active
Liga MX Femenil Apertura 2025,Necaxa Femenil,Active
Liga MX Femenil Apertura 2025,Pachuca Femenil,Active
Liga MX Femenil Apertura 2025,Puebla Femenil,Active
Liga MX Femenil Apertura 2025,Querétaro Femenil,Active
Liga MX Femenil Apertura 2025,Santos Laguna Femenil,Active
Liga MX Femenil Apertura 2025,Tijuana Femenil,Active
Liga MX Femenil Apertura 2025,Toluca Femenil,Active
Liga MX Femenil Apertura 2025,UANL Femenil,Active
Liga MX Femenil Apertura 2025,UNAM Femenil,Active
Liga MX Femenil Clausura 2026,América Femenil,Active
Liga MX Femenil Clausura 2026,Atlas Femenil,Active
Liga MX Femenil Clausura 2026,Atlético San Luis Femenil,Active
Liga MX Femenil Clausura 2026,Cruz Azul Femenil,Active
Liga MX Femenil Clausura 2026,Guadalajara Femenil,Active
Liga MX Femenil Clausura 2026,Juárez Femenil,Active
Liga MX Femenil Clausura 2026,León Femenil,Active
Liga MX Femenil Clausura 2026,Mazatlán Femenil,Active
Liga MX Femenil Clausura 2026,Monterrey Femenil,Active
Liga MX Femenil Clausura 2026,Necaxa Femenil,Active
Liga MX Femenil Clausura 2026,Pachuca Femenil,Active
Liga MX Femenil Clausura 2026,Puebla Femenil,Active
Liga MX Femenil Clausura 2026,Querétaro Femenil,Active
Liga MX Femenil Clausura 2026,Santos Laguna Femenil,Active
Liga MX Femenil Clausura 2026,Tijuana Femenil,Active
Liga MX Femenil Clausura 2026,Toluca Femenil,Active
Liga MX Femenil Clausura 2026,UANL Femenil,Active
Liga MX Femenil Clausura 2026,UNAM Femenil,Active
