organizationDisplayName,countryDisplayName,name,displayName,gender,ageCategory,founded,status
Club América,Mexico,Club América Femenil,América,Female,Professional,2016-12-05,Active
Club América,Mexico,Club América Femenil,América,Male,Professional,,Active
Atlas,Mexico,Atlas Femenil,Atlas,Female,Professional,2016-12-05,Active
Atlas,Mexico,Atlas Femenil,Atlas,Male,Professional,,Active
San Luis,Mexico,Atlético San Luis Femenil,Atlético San Luis,Female,Professional,2019-05-27,Active
San Luis,Mexico,Atlético San Luis Femenil,Atlético San Luis,Male,Professional,,Active
Cruz Azul,Mexico,Cruz Azul Femenil,Cruz Azul,Female,Professional,2016-12-05,Active
Cruz Azul,Mexico,Cruz Azul Femenil,Cruz Azul,Male,Professional,,Active
Guadalajara,Mexico,Guadalajara Femenil,Guadalajara,Female,Professional,2016-12-05,Active
Guadalajara,Mexico,Guadalajara Femenil,Guadalajara,Male,Professional,,Active
Juárez,Mexico,FC Juárez Femenil,Juárez,Female,Professional,2019-06-11,Active
Juárez,Mexico,FC Juárez Femenil,Juárez,Male,Professional,,Active
León,Mexico,León Femenil,León,Female,Professional,2016-12-05,Active
León,Mexico,León Femenil,León,Male,Professional,,Active
Mazatlán,Mexico,Mazatlán Femenil,Mazatlán,Female,Professional,2020-06-02,Active
Mazatlán,Mexico,Mazatlán Femenil,Mazatlán,Male,Professional,,Active
Monterrey,Mexico,Monterrey Femenil,Monterrey,Female,Professional,2016-12-05,Active
Monterrey,Mexico,Monterrey Femenil,Monterrey,Male,Professional,,Active
Necaxa,Mexico,Necaxa Femenil,Necaxa,Female,Professional,2016-12-05,Active
Necaxa,Mexico,Necaxa Femenil,Necaxa,Male,Professional,,Active
Pachuca,Mexico,Pachuca Femenil,Pachuca,Female,Professional,2016-12-05,Active
Pachuca,Mexico,Pachuca Femenil,Pachuca,Male,Professional,,Active
Puebla,Mexico,Puebla Femenil,Puebla,Female,Professional,2018-05-16,Active
Puebla,Mexico,Puebla Femenil,Puebla,Male,Professional,,Active
Querétaro,Mexico,Querétaro Femenil,Querétaro,Female,Professional,2016-12-05,Active
Querétaro,Mexico,Querétaro Femenil,Querétaro,Male,Professional,,Active
Santos,Mexico,Santos Laguna Femenil,Santos Laguna,Female,Professional,2016-12-05,Active
Santos,Mexico,Santos Laguna Femenil,Santos Laguna,Male,Professional,,Active
Tijuana,Mexico,Tijuana Femenil,Tijuana,Female,Professional,2016-12-05,Active
Tijuana,Mexico,Tijuana Femenil,Tijuana,Male,Professional,,Active
Toluca,Mexico,Toluca Femenil,Toluca,Female,Professional,2016-12-05,Active
Toluca,Mexico,Toluca Femenil,Toluca,Male,Professional,,Active
Tigres,Mexico,Tigres UANL Femenil,UANL,Female,Professional,2016-12-05,Active
Tigres,Mexico,Tigres UANL Femenil,UANL,Male,Professional,,Active
UNAM,Mexico,UNAM Femenil,UNAM,Female,Professional,2016-12-05,Active
UNAM,Mexico,UNAM Femenil,UNAM,Male,Professional,,Active
